"","V1","V2","V3","V4","V5","V6","V7"
"1",0.148,4,137.915,1969,148.03546,-9.843,121.274
"2",0,4,217.124,1982,233.40363,-9.013,119.293
"3",0.066,4,198.699,2007,209.60608,-4.501,129.738
"4",5.3,4,258.99,1984,269.81832,-13.496,86.643
"5",0,4,486.034,1987,491.12771,-8.576,119.826
"6",0.145,4,285.605,2004,290.29832,-5.271,150.062
"7",0.061,4,204.696,2004,207.77751,-4.264,166.862
"8",0,1,225.097,0,225.09669,-5.908,164.672
"9",0,4,87.806,2003,95.68608,-2.022,115.887
"10",0.183,4,246.19,1992,248.78975,-7.805,116.721
"11",0.734,4,168.699,2006,175.72526,-10.93,141.919
"12",0.071,5,237.598,2009,251.42812,-12.009,86.091
"13",0,4,298.347,1995,300.79955,-13.33,124.175
"14",0.322,4,224.049,1990,246.69995,-9.603,112.903
"15",0,4,213.664,2004,229.61587,-4.882,105.206
"16",0.286,4,399.9,2000,426.89261,-12.951,63.017
"17",0.229,1,130.026,1963,136.48934,-9.091,129.122
"18",0.165,4,192.087,1990,195.91791,-11.98,91.487
"19",0.113,4,279.179,2005,288.41751,-8.165,115.606
"20",0,5,121.005,2001,124.18567,-10.296,85.008
"21",0,3,253.452,2005,261.95546,-13.627,100.194
"22",0.45,4,322.101,1994,329.27302,-7.103,116.473
"23",3.344,4,273.589,2001,292.8322,-4.953,133.306
"24",2.566,1,289.332,1991,301.81832,-8.095,61.971
"25",0,5,396.533,1997,416.80934,-7.982,124.04
"26",4.267,3,414.697,2006,428.56444,-8.403,105.994
"27",0.078,4,135.285,1986,140.66893,-28.347,89.495
"28",0,4,185.289,2005,190.24934,-4.172,75.031
"29",2.67,4,248.337,1981,255.16363,-10.756,150.837
"30",0.416,4,339.754,1997,345.93914,-6.951,153.862
"31",3.489,4,250.921,1986,261.74649,-9.628,124.086
"32",0,1,117.661,2005,133.27628,-15.736,89.86
"33",0,4,251.141,2006,264.69832,-5.871,156.097
"34",0.27,4,192.182,2007,192.1824,-6.258,155.038
"35",0.38,4,316.447,2001,327.8624,-6.531,125.975
"36",0.194,4,218.827,2003,218.8273,-3.803,186.254
"37",0,4,214.941,1999,224.522,-6.694,94.057
"38",0.229,4,233.586,2001,233.58649,-3.937,89.78
"39",0.107,3,276.95,2007,288.49587,-5.912,160.022
"40",0.133,4,173.761,0,181.55057,-9.334,120.097
"41",0,4,229.837,2003,241.52771,-7.255,108.264
"42",0.318,3,150.065,0,159.03302,-9.668,165.668
"43",0.386,4,195.785,2008,205.21751,-4.332,82.205
"44",0,4,147.696,2006,153.28608,-7.535,125.558
"45",0,1,156.032,1998,168.38485,-12.77,98.49
"46",0,4,266.422,2000,266.4224,-5.947,80.149
"47",0.427,3,308.094,1989,313.7824,-11.488,107.197
"48",0.085,4,219.214,1989,224.60036,-13.256,210.871
"49",4.569,4,226.569,1999,236.25098,-5.12,112.787
"50",0.537,4,198.159,2004,207.43791,-11.255,97.538
"51",0,4,333.769,1998,338.1024,-6.318,185.88
"52",0,4,202.374,2007,221.67465,-2.838,91.483
"53",3.692,4,210.245,0,212.61016,-8.548,116.11
"54",0.129,4,146.036,1991,149.99465,-5.165,120.001
"55",0,4,213.008,2005,215.53587,-2.315,188.924
"56",5.254,4,480.403,1985,492.30322,-12.091,193.56
"57",0.206,4,249.156,2003,256.10404,-7.758,91.198
"58",0,3,271.72,1999,291.02975,-4.507,179.988
"59",2.786,4,227.498,2005,237.42649,-4.621,80.41
"60",0.415,4,170.156,2006,172.19873,-4.806,131.079
"61",2.084,4,333.456,0,359.73179,-7.301,133.383
"62",2.635,4,172.054,2001,180.97587,-3.637,142.68
"63",0,3,238.51,2001,251.81995,-8.654,229.913
"64",0.264,1,194.502,1983,202.94485,-18.863,133.398
"65",0,4,462.222,2007,466.65098,-7.714,114.73
"66",0.212,4,276.59,1999,293.92934,-9.464,163.567
"67",0.194,4,178.672,2007,187.6371,-7.188,150.066
"68",0.154,4,169.558,0,174.81098,-3.235,86.62
"69",0,4,143.139,2004,146.59873,-7.249,160.009
"70",0,1,141.398,1995,148.1922,-19.976,115.066
"71",0.17,1,219.655,1997,225.12281,-7.315,200.716
"72",0.071,1,250.357,2008,250.3571,-5.766,125.086
"73",3.065,4,350.372,2009,362.31791,-6.762,90.027
"74",0.104,1,217.298,0,231.18322,-9.647,92.98
"75",0,4,316.772,0,327.88853,-5.703,127
"76",6.844,4,266.223,0,280.45016,-6.876,97.02
"77",0.131,4,243.125,1999,254.01424,-7.199,127.745
"78",0,4,179.188,2006,190.56281,-10.548,89.966
"79",0,4,133.625,0,141.19138,-9.56,91.704
"80",0.618,4,229.976,2003,240.43057,-4.714,97.148
"81",0.34,4,183.844,2004,194.35057,-13.047,151.5
"82",0.255,4,281.141,2002,298.37016,-6.311,111.903
"83",2.955,1,346.448,1999,359.6273,-10.609,141.334
"84",0.16,4,229.825,2001,234.52689,-6.022,167.909
"85",0.177,4,258.885,2005,290.97751,-15.546,121.773
"86",0,3,314.23,0,324.85832,-10.086,102.756
"87",0.456,4,230.075,1992,235.41506,-5.492,129.318
"88",0.212,4,224.177,2003,230.42567,-5.981,86.82
"89",0.346,1,188.943,1927,188.94322,-17.714,99.076
"90",0.073,4,252.204,2006,260.54485,-5.202,129.984
"91",0.276,4,187.582,2000,197.19791,-29.75,127.782
"92",0.238,5,275.528,2001,280.21506,-3.306,173.205
"93",0,4,216.195,1998,222.09261,-7.974,106.769
"94",0.183,1,275.418,2003,283.74159,-11.766,116.621
"95",3.413,4,200.789,2005,212.29669,-3.753,85.029
"96",0,3,147.603,2004,149.91628,-8.225,165.546
"97",0,4,256.592,2009,280.24118,-9.074,64.811
"98",0.125,4,132.737,0,138.4224,-4.994,201.951
"99",0,4,279.319,1999,286.24934,-9.033,119.428
"100",0,3,347.846,2002,347.84608,-6.774,152.214
"101",0,4,219.173,2006,225.64526,-4.442,110.994
"102",0.119,4,211.569,1989,215.11791,-5.945,101.742
"103",0.224,4,152.816,1968,159.60771,-13.592,105.202
"104",0.976,5,200.899,0,209.99791,-6.186,145.689
"105",0,4,215.208,1999,218.61832,-2.599,200.061
"106",0,1,248.79,1989,248.78975,-11.814,128.598
"107",0,4,323.186,2007,323.18649,-4.238,150.11
"108",0.183,4,250.358,2002,269.73995,-7.462,103.009
"109",0,4,85.263,1983,85.26322,-9.614,86.536
"110",0.078,4,267.685,2008,271.85587,-4.002,120.119
"111",1.46,4,269.328,1999,275.69587,-6.518,80.979
"112",0.119,4,246.213,0,259.68281,-18.184,141.51
"113",0,4,417.671,2004,417.67138,-7.865,181.549
"114",0.062,5,180.024,1977,189.30893,-7.54,86.902
"115",0.148,4,257.248,1995,263.8624,-5.498,136.459
"116",0.647,4,287.277,1983,298.89261,-6.375,119.903
"117",0,4,181.481,2007,189.75302,-5.991,168.248
"118",0.149,4,175.299,1994,194.40281,-6.942,145.228
"119",0.241,4,172.141,2004,174.602,-4.022,142.01
"120",0.061,1,180.251,1996,184.2673,-10.72,98.623
"121",0.119,4,315.31,1969,324.70159,-11.359,167.841
"122",0,4,214.698,2000,223.52934,-5.304,111.004
"123",0,4,169.059,2007,173.37424,-5.516,201.333
"124",0.147,4,190.346,2003,195.5522,-6.675,196.137
"125",0.374,4,154.749,1992,159.34649,-16.163,42.654
"126",1.483,3,216.178,1972,221.962,-28.946,104.469
"127",0,4,248.413,1999,260.33587,-5.869,100.694
"128",0,1,227.097,2002,238.47138,-3.947,183.58
"129",2.345,3,289.21,1981,308.94975,-14.178,139.402
"130",3.257,1,229.767,1986,237.13914,-8.591,156.65
"131",2.368,4,284.311,1995,312.13669,-7.207,122.243
"132",3.32,4,461.926,2008,472.45016,-3.258,111.504
"133",0,1,159.655,0,163.29098,-5.084,126.464
"134",3.268,4,102.806,1999,108.40771,-6.695,131.078
"135",0.206,4,133.863,2007,144.03873,-3.942,152.041
"136",2.148,3,192.789,2009,204.40771,-2.192,194.532
"137",0.302,4,120.796,1987,125.90975,-9.96,186.159
"138",0.198,4,197.671,2003,208.32608,-6.067,136.932
"139",0,3,274.187,2007,295.23546,-6.163,124.078
"140",0,4,228.989,2008,228.98893,-3.257,88.127
"141",0,4,191.872,2004,195.29098,-7.163,150.155
"142",0.158,3,241.795,2007,253.67465,-7.442,150.83
"143",15.488,4,245.133,2007,277.99465,-8.878,80.023
"144",0,3,130.525,2004,136.98567,-5.654,154.211
"145",0.098,3,224.804,1970,232.64608,-19.991,74.665
"146",3.355,4,207.128,2004,224.62649,-5.627,103.433
"147",0.386,4,184.662,1995,194.61179,-7.683,110.178
"148",0,4,202.96,2004,217.10322,-5.75,146.683
"149",0.154,4,208.132,2009,215.74485,-6.81,151.936
"150",2.914,4,344.752,2008,351.32036,-7.168,128.976
"151",0.13,3,180.86,2002,196.62322,-14.301,96.027
"152",0,4,253.806,1996,259.76118,-10.175,137.342
"153",0.09,4,229.622,0,242.15465,-3.38,95.464
"154",0.189,4,191.947,1995,191.9473,-7.711,97.643
"155",0.345,4,250.392,0,265.97832,-5.425,150.116
"156",0,7,443.689,2007,443.68934,-6.465,100.331
"157",0.346,4,241.993,2004,252.86485,-10.468,123.997
"158",3.268,4,185.94,1977,194.97751,-9.769,91.453
"159",2.763,4,198.583,2006,209.162,-7.078,125.057
"160",0.183,5,229.198,0,238.41914,-7.404,123.81
"161",0.385,4,154.305,2000,154.30485,-8.328,94.905
"162",0,4,287.672,0,296.95955,-4.854,128.134
"163",0.148,1,136.319,1962,145.162,-6.643,129.781
"164",0.142,4,161.472,2004,166.29506,-6.467,82.909
"165",15.018,4,299.619,0,313.70404,-12.679,137.068
"166",0,3,177.046,2006,189.70077,-12.1,119.683
"167",3.663,4,394.043,1999,399.882,-10.648,85.399
"168",0.345,4,221.931,2001,225.48853,-4.947,106.919
"169",2.926,3,194.769,2003,206.81098,-3.738,85.331
"170",0.09,4,277.812,0,277.81179,-5.431,133.005
"171",0.519,4,191.025,1995,200.75057,-11.448,202.829
"172",0,4,75.9,2004,80.53506,-6.855,104.783
"173",0.079,1,158.174,1968,168.01914,-11.803,103.088
"174",0.13,4,298.969,1971,307.722,-8.392,75.706
"175",7.297,4,198.177,0,201.03791,-4.65,177.152
"176",0,4,171.508,1977,188.96934,-12.193,174.785
"177",0,1,335.333,1987,335.33342,-5.763,76.096
"178",0.166,4,348.775,2006,356.54485,-10.06,129.277
"179",2.188,4,262.373,0,262.37342,-11.291,129.047
"180",2.606,3,175.514,2009,180.13995,-4.422,121.354
"181",0.171,1,136.638,1994,143.64689,-11.661,156.079
"182",0.496,4,189.57,1997,189.57016,-3.492,169.237
"183",0.27,4,203.395,2009,212.92363,-5.429,209.739
"184",6.751,4,156.723,1996,165.40689,-12.987,147.508
"185",0,5,167.729,1989,171.10159,-6.176,115.737
"186",0.293,1,189.219,1994,195.3171,-13.141,93.312
"187",0,4,222.275,2001,222.27546,-6.338,160.783
"188",3.791,3,161.773,0,168.48934,-10.38,89.219
"189",0.183,3,164.148,1964,172.72118,-7.343,107.455
"190",0.067,4,167.445,2004,171.72853,-5.92,86.007
"191",0,4,501.054,1991,501.05424,-8.508,148.642
"192",0.38,3,514.049,1994,528.14322,-12.797,175.663
"193",0.334,4,179.664,2010,196.20526,-7.045,107.042
"194",0,4,211.656,2009,225.67138,-12.637,103.647
"195",0.125,7,227.552,0,227.5522,-5.355,64.734
"196",0.2,4,209.572,2003,216.92036,-8.238,123.943
"197",2.218,1,71.21,1984,78.96771,-21.997,59.253
"198",0.102,4,225.495,2007,233.42975,-6.209,220.031
"199",0.403,4,153.925,1988,159.60771,-9.224,125.1
"200",0.125,4,241.458,2006,254.51057,-4.952,91.97
"201",0.104,5,219.649,2006,225.20118,-3.198,142.946
"202",14.518,4,301.552,1999,323.7873,-6.994,122
"203",0,4,267.476,2004,276.45342,-6.51,150.012
"204",0.172,3,80.167,2005,82.85995,-19.368,159.212
"205",0,4,167.277,2003,170.84036,-2.323,145.18
"206",0.299,4,198.089,0,207.17669,-6.186,189.825
"207",0,4,299.508,2007,317.36118,-4.061,112.277
"208",5.317,4,218.506,1991,237.45261,-13.486,158.57
"209",0.397,1,268.301,0,271.22893,-10.913,80.864
"210",0.214,4,143.941,0,149.18485,-7.848,120.183
"211",0.49,4,391.872,2008,409.96526,-2.93,116.49
"212",0,3,219.794,2006,233.66485,-11.104,160.052
"213",0.188,4,243.287,2000,247.562,-6.57,106.435
"214",2.519,4,223.266,2008,227.70893,-8.901,87.953
"215",0.113,5,260.777,0,274.78159,-5.958,92.998
"216",0.084,4,175.525,2006,184.00608,-2.895,127.15
"217",7.007,1,196.545,2003,210.54649,-12.26,130.325
"218",0,4,136.214,2009,140.40771,-4.459,207.974
"219",0.119,4,211.598,2005,219.81995,-3.67,91.011
"220",0,5,120.868,2000,120.86812,-6.72,170.081
"221",2.322,4,217.641,2008,229.45914,-3.8,82.282
"222",2.02,4,277.211,2000,289.30567,-2.973,174.69
"223",0,4,141.56,2001,153.33832,-5.92,133.986
"224",0,4,404.584,1996,404.58404,-8.087,119.713
"225",0.531,4,219.458,1995,222.30159,-7.3,161.456
"226",0.102,3,439.478,1994,441.96526,-6.962,133.903
"227",0.27,4,173.099,2005,184.55465,-8.7,86.971
"228",0,7,253.301,2000,265.61261,-5.145,153.211
"229",0.328,1,269.903,1993,273.78893,-10.27,193.575
"230",0.357,4,258.664,1995,261.79873,-7.51,200.199
"231",0.194,4,202.879,1998,210.07628,-8.522,189.616
"232",0.142,4,197.277,0,204.25098,-5.145,168.459
"233",5.358,4,250.955,1986,269.94893,-4.357,124.973
"234",0.375,4,249.388,2003,260.20526,-6.259,149.913
"235",0.078,4,146.588,2007,148.92363,-4.912,95.611
"236",0.078,4,215.911,2001,228.62322,-4.739,104.587
"237",0.108,5,287.794,0,291.13424,-12.446,93.331
"238",0.073,1,204.138,1981,217.96526,-10.011,107.657
"239",0,4,195.889,2003,200.38485,-5.167,85.012
"240",0,4,148.225,1983,151.37914,-12.581,112.88
"241",0.461,4,128.496,0,128.49587,-4.625,185.409
"242",0.428,4,329.59,2000,340.50567,-13.807,96.311
"243",0,4,508.969,0,508.96934,-4.277,162.733
"244",0.421,4,191.402,1986,210.46812,-13.644,114.382
"245",0.177,5,341.769,2005,380.682,-7.736,110.255
"246",0.259,4,136.661,2006,145.55383,-5.603,201.123
"247",8.702,4,264.202,0,289.59302,-5.247,152
"248",0.142,3,412.758,2005,419.68281,-6.407,91.498
"249",2.554,5,216.874,0,244.74077,-12.121,84.826
"250",3.512,4,278.558,0,289.2273,-5.676,162.069
"251",0.427,3,476.7,2002,515.36934,-4.694,129.088
"252",0.142,5,277.885,1983,313.70404,-14.361,85.207
"253",0.177,4,262.844,1978,278.96118,-5.563,80.7
"254",3.454,4,306.556,2009,316.96934,-7.896,187.844
"255",0,5,266.437,1995,278.54322,-11.958,82.789
"256",0.286,4,142.646,1988,151.01342,-10.133,131.966
"257",0.16,7,386.984,1999,391.02649,-7.078,110.897
"258",0.247,4,238.782,1999,257.2273,-8.086,105.994
"259",0,4,230.284,2002,235.04934,-9.642,90.507
"260",0.085,3,178.033,1998,181.18485,-7.301,121.764
"261",0.148,3,245.232,0,254.35383,-6.367,168.36
"262",0,4,191.216,2007,203.91138,-3.237,140.878
"263",0.113,4,165.605,2009,176.43057,-2.741,140.111
"264",0.305,4,223.312,1999,231.73179,-6.378,110.071
"265",0.061,4,166.429,2007,175.80363,-5.911,93.061
"266",0,4,262.246,0,280.81587,-12.346,108.047
"267",0.241,1,297.001,1967,309.52444,-18.581,84.853
"268",0,4,72.464,1991,84.63628,-18.7,166.092
"269",0.322,4,258.305,2002,274.41587,-7.446,134.027
"270",0,1,166.487,2001,171.59791,-4.029,93.458
"271",2.734,4,293.245,1995,298.00444,-5.16,87.747
"272",0,4,326.06,1997,332.93016,-8.416,119.461
"273",2.258,4,74.449,1959,80.03873,-13.136,196.303
"274",0,3,274.408,0,283.66322,-7.589,125.994
"275",0.136,4,212.579,2007,220.70812,-3.868,253.357
"276",0.369,4,224.293,0,237.60934,-5.88,103.218
"277",0,4,172.303,0,172.30322,-6.485,123.976
"278",0.229,1,100.833,1999,104.93342,-5.625,60.017
"279",0,7,164.368,1984,169.53424,-5.914,163.748
"280",3.291,4,216.213,2001,222.92853,-5.057,118.056
"281",1.221,4,246.044,0,254.58893,-16.261,142.479
"282",0,4,387.634,1989,398.44526,-9.244,150.3
"283",0,1,127.477,2006,127.4771,-2.445,161.874
"284",0.258,4,76.788,1997,79.93424,-22.214,50.059
"285",0,4,225.303,2009,228.38812,-5.98,122.988
"286",0.286,1,144.782,1995,149.36771,-12.625,177.866
"287",0,4,207.569,2000,207.56853,-11.622,171.648
"288",0.318,4,208.718,1989,219.76771,-16.205,107.905
"289",0.334,4,218.25,2000,235.65016,-3.053,115.418
"290",0,3,210.686,2006,219.89832,-3.926,165.224
"291",0,5,313.934,1975,319.00689,-14.886,109.305
"292",2.961,4,269.886,1988,283.24526,-6.951,97.882
"293",2.038,4,151.005,2007,163.00363,-4.993,160.051
"294",0.195,3,169.14,2003,180.03546,-8.537,158.404
"295",0,4,261.149,0,265.58649,-8.723,93.001
"296",0.085,4,113.766,2005,119.7971,-5.535,161.909
"297",0,3,150.988,0,159.76444,-10.012,128.961
"298",0,4,237.583,0,237.58322,-2.664,94.819
"299",0,4,185.939,2003,185.93914,-6.738,210.691
"300",0.165,4,212.103,2001,231.54893,-9.781,103.046
"301",0.067,4,194.99,2008,200.35873,-4.793,98.784
"302",0.177,1,182.793,1996,189.3873,-16.111,164.641
"303",0.288,4,247.728,1992,257.25342,-4.925,93.156
"304",0,4,196.499,2005,204.5122,-11.38,95.098
"305",0.142,4,265.184,1994,283.89832,-7.275,90.199
"306",0,4,248.581,1991,251.14077,-10.086,102.829
"307",3.077,4,219.852,2007,225.27955,-6.205,127.006
"308",17.09,4,459.337,2006,459.33669,-7.57,115.37
"309",0.173,1,156.415,2003,168.82893,-6.538,125.875
"310",0.45,4,183.089,1975,192.57424,-7.98,110.28
"311",0.212,3,151.011,1992,163.13424,-9.429,85.82
"312",0.334,4,121.574,2001,125.67465,-9.089,124.916
"313",0.444,4,294.963,1996,315.08853,-9.29,153.768
"314",0,4,152.764,2006,161.51465,-5.095,78.971
"315",0.322,4,181.725,0,195.70893,-4.222,128.968
"316",2.014,4,229.883,2000,236.2771,-2.801,103.997
"317",0,4,323.512,0,327.6273,-4.283,175.007
"318",0.224,4,224.81,2002,245.02812,-4.675,190.102
"319",0.473,4,373.696,2009,397.60934,-7.038,131.955
"320",5.445,4,288.496,2008,300.01587,-5.663,198.016
"321",0.148,4,228.27,2005,241.65832,-9.635,131.761
"322",0.684,4,267.453,2005,273.00526,-6.728,117.844
"323",0,4,553.332,1990,573.67465,-17.629,119.712
"324",0,1,347.638,2004,352.49587,-5.827,105.05
"325",2.264,4,231.329,2004,249.05098,-15.775,95.576
"326",1.468,4,165.309,1994,176.5873,-15.608,79.151
"327",0.218,4,230.963,1978,247.95383,-17.664,119.389
"328",0,3,188.5,1996,197.53751,-4.347,80.375
"329",0.217,4,266.252,0,280.65914,-9.923,122.954
"330",0.125,4,230.023,2005,235.98975,-8.298,85.976
"331",0,4,242.155,2004,242.15465,-8.702,72.884
"332",0.218,4,249.255,2008,260.51873,-6.857,45.508
"333",0.078,1,259.297,2004,262.89587,-7.628,145.997
"334",0,4,294.702,1992,320.44363,-11.415,88.072
"335",0.345,4,141.038,1990,145.13587,-12.653,91.318
"336",0.305,4,145.131,0,154.74893,-9.059,177.945
"337",0.167,4,255.843,2003,255.84281,-7.532,121.871
"338",0,4,362.162,1994,366.39302,-6.788,177.662
"339",0.165,3,116.878,1994,121.73016,-12.744,151.73
"340",0.113,4,347.469,1999,366.28853,-13.018,131.948
"341",0,4,203.372,1997,213.13261,-5.382,91.922
"342",0,4,203.9,2005,215.82322,-4.176,164.002
"343",3.553,4,249.678,2005,252.65587,-7.825,151.699
"344",0,4,235.096,2002,237.66159,-4.651,151.284
"345",0.311,5,181.685,1956,184.76363,-11.242,126.31
"346",0.467,3,330.252,1997,341.68118,-7.422,112.063
"347",0,4,283.074,1960,286.82404,-6.615,134.741
"348",0,3,277.809,1990,285.3873,-10.181,169.866
"349",0.356,3,226.035,0,231.18322,-8.029,90.038
"350",0,4,233.111,1985,236.09424,-11.326,119.035
"351",2.664,4,267.738,0,294.73914,-10.647,101.303
"352",0.115,1,227.056,1986,229.8771,-9.406,125.676
"353",2.026,4,179.095,1994,179.09506,-5.15,105.498
"354",0.183,4,183.844,2009,192.44363,-4.43,147.904
"355",0.612,4,304.007,2004,312.08444,-8.775,119.562
"356",0.282,4,203.79,0,208.14322,-11.865,98.528
"357",0,4,264.069,2006,277.02812,-6.425,119.813
"358",1.465,4,201.288,1982,203.91138,-6.267,183.907
"359",0.136,4,202.182,2008,222.01424,-5.278,99.124
"360",10.083,1,150.245,2008,156.55138,-8.038,127.792
"361",0.223,4,224.386,2007,230.55628,-4.883,87.992
"362",0.369,4,197.825,1975,197.82485,-11.292,142.88
"363",0.45,5,178.498,0,188.94322,-5.322,125.528
"364",0.101,4,292.49,1996,304.71791,-7.269,227.161
"365",0.254,1,168.855,1989,168.85506,-9.515,197.213
"366",0.154,1,156.868,1989,163.26485,-12.778,114.135
"367",0,3,210.285,1986,210.28526,-10.223,128.262
"368",0,4,237.215,2003,246.85669,-4.544,145.711
"369",0.386,4,174.266,1964,183.17016,-11.553,185.333
"370",0,4,186.903,1994,197.25016,-12.472,134.237
"371",0.38,4,167.457,0,182.33424,-9.068,168.849
"372",0,3,274.466,1989,281.33832,-8.762,83.856
"373",0.322,4,263.216,1979,274.72934,-9.727,164.594
"374",0,4,119.983,2001,125.46567,-5.059,110.972
"375",0.759,4,243.246,1979,253.12608,-10.744,98.679
"376",2.241,7,220.555,2010,224.41751,-3.487,143.837
"377",0.908,1,314.63,1998,317.12608,-6.748,95.138
"378",0,4,237.587,1999,240.19546,-2.267,112.961
"379",0.392,4,196.603,1996,208.32608,-7.852,95.738
"380",3.373,4,201.932,2007,211.80036,-10.447,201.792
"381",0,3,237.65,2005,251.16689,-10.512,153.396
"382",0.131,1,199.094,2005,208.5873,-8.226,109.287
"383",2.56,4,126.229,1996,131.81342,-11.011,87.653
"384",0.189,4,212.474,1992,215.82322,-9.767,133.624
"385",3.907,4,255.28,1995,263.81016,-7.06,141.22
"386",1.007,1,162.737,0,171.2322,-3.326,181.747
"387",0.438,3,208.086,2006,214.88281,-4.504,109.45
"388",2.032,3,140.858,1995,148.40118,-9.38,91.637
"389",0,7,10.344,1993,10.34404,-32.742,61.878
"390",0.194,4,234.707,2005,241.37098,-5.199,156.523
"391",0.403,4,323.396,0,342.83057,-12.896,107.542
"392",2.554,4,179.008,2006,187.03628,-4.183,170.046
"393",0,1,130.444,1996,135.49669,-11.575,201.953
"394",0.603,4,246.718,0,260.75383,-7.329,121.147
"395",0,4,228.635,1986,235.41506,-11.761,116.195
"396",0.38,4,141.375,1996,154.85342,-3.865,122.125
"397",2.212,4,240.849,2003,255.65995,-12.924,85.949
"398",0,4,144.004,2008,147.48689,-5.072,120.697
"399",0.345,4,187.699,2003,200.33261,-4.522,141.741
"400",0.345,4,219.086,0,232.98567,-4.297,166.057
"401",0.218,3,148.898,2003,162.37669,-11.528,69.222
"402",2.351,4,284.648,2001,293.66812,-5.21,85.141
"403",1.1,4,212.886,0,221.88363,-9.612,118.096
"404",0,5,179.095,1992,179.09506,-5.439,110.791
"405",0.293,4,236.199,1993,250.8273,-14.748,122.428
"406",3.28,1,211.54,0,217.23383,-11.719,148.358
"407",0.144,3,170.04,2006,183.64036,-12.055,123.278
"408",3.053,4,194.508,2007,203.78077,-3.092,132.021
"409",0,4,241.29,1976,260.62322,-12.502,142.857
"410",0,7,324.493,2005,329.7171,-9.458,126.947
"411",3.419,4,268.945,2009,284.1073,-5.519,107.998
"412",2.595,4,187.428,0,187.42812,-8.821,88.878
"413",0.361,1,85.269,1980,88.89424,-7.545,156.605
"414",0.073,4,138.797,2004,141.13914,-4.526,144.955
"415",0.15,4,167.538,2009,174.75873,-3.373,156.924
"416",0.177,4,211.565,2001,211.56526,-1.81,104.796
"417",0.183,4,251.826,2007,261.17179,-6.182,92.186
"418",0.57,1,114.619,1962,124.52526,-18.57,163.942
"419",0.229,4,233.221,1988,245.10649,-9.623,131.04
"420",0.479,4,266.652,0,278.7522,-9.399,160.976
"421",0.171,4,269.108,2001,282.61832,-3.834,69.737
"422",0,4,185.835,1992,185.83465,-7.184,94.146
"423",0.157,4,247.797,1989,247.7971,-15.059,100.788
"424",3.582,3,338.274,1984,345.67791,-12.23,99.978
